"Row.names","Connectivity","PValue","pert_id","pert_iname","pert_type","cell_id","pert_idose","pert_itime","distil_id"
"CPC006_PL21_6H:M09"," 0.25133","0.7955900","DMSO","DMSO","ctl_vehicle","PL21","-666","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:M09|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:M09"
"CPC006_PL21_6H:BRD-K92317137-001-04-0:10"," 0.25170","0.8217800","BRD-K92317137","BRD-K92317137","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:L07|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:L07"
"CPC006_PL21_6H:BRD-A15079084-001-02-9:10"," 0.25594","0.8036500","BRD-A15079084","phorbol-12-myristate-13-acetate","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:O09|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:O09"
"CPC006_PL21_6H:BRD-A85860691-001-02-2:0.08"," 0.25707","0.8085100","BRD-A85860691","chaetocin","trt_cp","PL21","100 nM","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:N03|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:N03"
"CPC006_PL21_6H:BRD-K57011718-001-01-5:10"," 0.26020","0.7763400","BRD-K57011718","UK-356618","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:C01|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:C01"
"CPC006_PL21_6H:BRD-A41451487-001-06-2:160"," 0.26100","0.6657500","BRD-A41451487","PK-11195","trt_cp","PL21","100 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:B07|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:B07"
"CPC006_PL21_6H:BRD-K56343971-001-02-3:10"," 0.26756","0.7686600","BRD-K56343971","vemurafenib","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:M06|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:M06"
"CPC006_PL21_6H:BRD-K19796430-001-01-5:10"," 0.26843","0.5236700","BRD-K19796430","sonidegib","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:A23|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:A23"
"CPC006_PL21_6H:BRD-K80738081-001-21-1:10"," 0.27218","0.6941900","BRD-K80738081","resveratrol","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:K07|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:K07"
"CPC006_PL21_6H:BRD-A35588707-001-03-0:1.25"," 0.27589","0.6684800","BRD-A35588707","teniposide","trt_cp","PL21","1 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:F17|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:F17"
"CPC006_PL21_6H:BRD-K04430056-001-09-4:80"," 0.27650","0.6367300","BRD-K04430056","7-nitroindazole","trt_cp","PL21","80 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:B14|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:B14"
"CPC006_PL21_6H:BRD-A81541225-001-02-7:10"," 0.27672","0.5135900","BRD-A81541225","oligomycin-a","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:G05|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:G05"
"CPC006_PL21_6H:BRD-K68548958-001-01-2:20"," 0.27845","0.4794500","BRD-K68548958","BRD-K68548958","trt_cp","PL21","20 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:L24|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:L24"
"CPC006_PL21_6H:BRD-A84481105-003-17-2:10"," 0.28232","0.4515100","BRD-A84481105","thioridazine","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:G23|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:G23"
"CPC006_PL21_6H:BRD-K16554956-001-01-5:10"," 0.28295","0.6585400","BRD-K16554956","PTB1","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:H03|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:H03"
"CPC006_PL21_6H:BRD-K67566344-001-01-8:10"," 0.28728","0.5000000","BRD-K67566344","KU-0063794","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:G06|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:G06"
"CPC006_PL21_6H:BRD-K90735586-001-07-4:10"," 0.28834","0.5720700","BRD-K90735586","BRD-K90735586","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:E01|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:E01"
"CPC006_PL21_6H:BRD-A80213327-305-03-4:160"," 0.29135","0.3649100","BRD-A80213327","NSC-23766","trt_cp","PL21","100 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:B22|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:B22"
"CPC006_PL21_6H:BRD-A58048407-001-10-5:10"," 0.29339","0.4097700","BRD-A58048407","nimodipine","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:N22|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:N22"
"CPC006_PL21_6H:N10"," 0.29775","0.5660700","DMSO","DMSO","ctl_vehicle","PL21","-666","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:N10"
"CPC006_PL21_6H:BRD-K73397362-001-03-3:44.4"," 0.30157","0.5506800","BRD-K73397362","purmorphamine","trt_cp","PL21","40 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:H22|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:H22"
"CPC006_PL21_6H:BRD-A24054354-001-05-7:10"," 0.30227","0.4444400","BRD-A24054354","BRD-A24054354","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:A05|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:A05"
"CPC006_PL21_6H:BRD-A71390734-001-01-7:0.08"," 0.30385","0.5890900","BRD-A71390734","idarubicin","trt_cp","PL21","100 nM","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:N01|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:N01"
"CPC006_PL21_6H:BRD-K18190982-002-01-2:44.4"," 0.30522","0.3100800","BRD-K18190982","COT-10b","trt_cp","PL21","40 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:B19|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:B19"
"CPC006_PL21_6H:BRD-A12230535-001-02-6:44.4"," 0.30594","0.5500000","BRD-A12230535","nutlin-3","trt_cp","PL21","40 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:F02|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:F02"
"CPC006_PL21_6H:BRD-K52075040-001-03-0:44.4"," 0.30814","0.4456500","BRD-K52075040","cerulenin","trt_cp","PL21","40 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:D13|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:D13"
"CPC006_PL21_6H:BRD-K92241597-001-02-9:80"," 0.31092","0.5097300","BRD-K92241597","tosedostat","trt_cp","PL21","80 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:B10|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:B10"
"CPC006_PL21_6H:BRD-K02113016-001-01-4:44.4"," 0.31587","0.5490500","BRD-K02113016","olaparib","trt_cp","PL21","40 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:J02|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:J02"
"CPC006_PL21_6H:BRD-K55966568-001-01-3:6"," 0.31850","0.5312900","BRD-K55966568","orantinib","trt_cp","PL21","5 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:K05|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:K05"
"CPC006_PL21_6H:BRD-A43331270-001-01-6:10"," 0.32293","0.3859200","BRD-A43331270","niguldipine","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:M07|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:M07"
"CPC006_PL21_6H:BRD-K05653692-003-04-7:64"," 0.32351","0.3551600","BRD-K05653692","DL-PDMP","trt_cp","PL21","60 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:B16|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:B16"
"CPC006_PL21_6H:BRD-K85563610-001-01-0:0.31"," 0.32801","0.4195500","BRD-K85563610","APO-866","trt_cp","PL21","500 nM","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:O02|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:O02"
